algorithm,scope,sample_count,r2_weather_only,r2_weather_plus_fire,r2_improvement,mae_weather_only,mae_weather_plus_fire,mae_reduction,rmse_weather_only,rmse_weather_plus_fire,rmse_reduction
lightgbm,burning_season,120,0.7101029013983802,0.7360847469749967,0.025981845576616536,5.2080679960442655,4.97623879113119,0.23182920491307524,7.323706756574833,6.987812733960006,0.33589402261482704
xgboost,burning_season,120,0.6825683926730514,0.7118975241432247,0.029329131470173353,5.171502606074015,5.038005383809407,0.1334972222646078,7.663622368840049,7.301002674602651,0.3626196942373987
lightgbm,full_test_year,365,0.8507582249901661,0.8601543506963653,0.009396125706199188,3.248611825734188,3.2243973220483246,0.02421450368586342,4.913143052240908,4.755965399099532,0.15717765314137644
xgboost,full_test_year,365,0.8435981101649802,0.8526747166396962,0.009076606474715976,3.1739005781199836,3.194370183552781,-0.020469605432797522,5.029620352223864,4.881495002512158,0.1481253497117061
lightgbm,high_pm25_days,20,-2.1098701479511086,-1.6979046569064193,0.41196549104468927,7.4072807490920525,6.568935091621677,0.8383456574703754,10.005334580239992,9.3190960347996,0.6862385454403928
xgboost,high_pm25_days,20,-3.382068839076937,-2.451869363044107,0.93019947603283,7.72567777633667,7.362666893005371,0.36301088333129883,11.876817584264169,10.541142006271892,1.3356755779922764
